基金代碼,特徵1_國內外,特徵2_產業別,特徵3_高收益債,特徵4_高風險,特徵5_熱門基金,特徵6_基金型態別,特徵7_高報酬
57R,國外,非民生必需品,,,,a.股票型,今年來報酬率大於10%
57T,國外,非民生必需品,,高風險,,a.股票型,今年來報酬率大於10%
57U,國外,非民生必需品,,高風險,,a.股票型,今年來報酬率大於10%
57V,國外,房地產,,高風險,,a.股票型,今年來報酬率大於10%
57W,國外,房地產,,高風險,,a.股票型,今年來報酬率大於10%
57X,國外,現金及衍生性商品,高收益債,,,b.債券型,
57Y,國外,現金及衍生性商品,高收益債,,,b.債券型,
57Z,國外,非必需消費品,,,,d.平衡型,
587,國外,生化科技,,,,a.股票型,今年來報酬率大於10%
588,國外,半導體及半導體設備,,,,a.股票型,今年來報酬率大於10%
589,國外,醫療保健,,,,a.股票型,今年來報酬率大於10%
58A,國外,資訊科技,,,,a.股票型,今年來報酬率大於10%
58B,國外,主要消費品,,高風險,,a.股票型,
58C,國外,金融,,,,a.股票型,
58D,國外,金融,,,,a.股票型,
58E,國外,多元化消費品,,,,a.股票型,
58G,國外,資訊科技保安,,,,a.股票型,今年來報酬率大於10%
58H,國外,資訊科技保安,,,,a.股票型,
58J,國外,其他,高收益債,,,b.債券型,
58M,國外,非必需消費品,,高風險,,a.股票型,今年來報酬率大於10%
58N,國外,非必需消費品,,高風險,,a.股票型,今年來報酬率大於10%
58O,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
58P,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
58U,國外,現金,,,,a.股票型,今年來報酬率大於10%
58Z,國外,非必需性消費品,,高風險,,a.股票型,今年來報酬率大於10%
594,國外,多元化REITs,,,,a.股票型,
596,國外,新興市場債-強勢貨幣,高收益債,,,b.債券型,
598,國外,新興市場債-當地貨幣,高收益債,,,b.債券型,
59A,國外,非必需性消費品,,高風險,,a.股票型,今年來報酬率大於10%
59D,國外,能源,,,,b.債券型,
59E,國外,媒體,高收益債,,,b.債券型,
59F,國外,資訊科技,,,,b.債券型,
59G,國外,多元金融業,高收益債,,,b.債券型,
59H,國外,多元金融業,高收益債,,,b.債券型,
59I,國外,公用事業,,,,b.債券型,
59J,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
59L,國外,新興市場債-當地貨幣,高收益債,,,b.債券型,
59M,國外,新興市場債-強勢貨幣,高收益債,,,b.債券型,
59N,國外,通膨連結債券,,,,b.債券型,
59O,國外,約當現金,高收益債,,,b.債券型,
59Q,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
59S,國外,約當現金,高收益債,,,b.債券型,
59T,國外,約當現金,高收益債,,,b.債券型,
59U,國外,能源,,高風險,,a.股票型,今年來報酬率大於10%
59V,國外,房地產,,高風險,,a.股票型,今年來報酬率大於10%
59W,國外,工業,,,,a.股票型,今年來報酬率大於10%
59Y,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
59Z,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
600,國外,新興市場債-當地貨幣,高收益債,,,b.債券型,
601,國外,新興市場債-強勢貨幣,高收益債,,,b.債券型,
605,國外,其他,,高風險,,a.股票型,今年來報酬率大於10%
606,國外,工業,,,,a.股票型,今年來報酬率大於10%
607,國外,其他,,,,a.股票型,
60A,國外,必需消費品,,,,a.股票型,今年來報酬率大於10%
60D,國外,必需消費品,,,,a.股票型,
60G,國外,公用事業和通訊,,,,a.股票型,今年來報酬率大於10%
60H,國外,金融服務,,,,a.股票型,今年來報酬率大於10%
60I,國外,特殊產品與服務,,,,a.股票型,今年來報酬率大於10%
60J,國外,金融服務,,,,a.股票型,今年來報酬率大於10%
60K,國外,金融服務,,,,a.股票型,
60L,國外,必需消費品,,,,d.平衡型,
60M,國外,必需消費品,,,,d.平衡型,
60N,國外,美國政府機構債券,,,,b.債券型,
60O,國外,美國政府機構債券,,,,b.債券型,
60Z,國外,,高收益債,,,b.債券型,
612,國外,醫療保健,,,,a.股票型,今年來報酬率大於10%
613,國外,現金,,,,a.股票型,今年來報酬率大於10%
615,國外,工業,,,,a.股票型,今年來報酬率大於10%
616,國外,其他,,,,a.股票型,
61B,國外,,高收益債,,,b.債券型,
61G,國外,其他,高收益債,,,b.債券型,
